expected_ul: 6.683557944782604, expected_ur: 5.22438383510929, pwm_l: 77.71579005561168, pwm_r: 60.74864924545686, real_ul: 6.431563854217529, real_ur: 5.630347728729248
expected_ul: 6.683557944782604, expected_ur: 5.22438383510929, pwm_l: 77.71579005561168, pwm_r: 60.74864924545686, real_ul: 6.452417373657227, real_ur: 5.623723030090332
expected_ul: 6.683557944782604, expected_ur: 5.22438383510929, pwm_l: 77.71579005561168, pwm_r: 60.74864924545686, real_ul: 6.432100296020508, real_ur: 5.624121189117432
expected_ul: 6.683557944782604, expected_ur: 5.22438383510929, pwm_l: 77.71579005561168, pwm_r: 60.74864924545686, real_ul: 6.394618034362793, real_ur: 5.631420135498047
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.334712505340576, real_ur: 6.813075065612793
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.3513689041137695, real_ur: 6.80696439743042
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.38943338394165, real_ur: 6.794559955596924
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.421677589416504, real_ur: 6.778407096862793
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.421737194061279, real_ur: 6.778284549713135
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.380615711212158, real_ur: 6.7964653968811035
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.377007484436035, real_ur: 6.781312942504883
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.369715213775635, real_ur: 6.7961578369140625
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.345470428466797, real_ur: 6.797203063964844
expected_ul: 6.547113832551178, expected_ur: 7.478785611924536, pwm_l: 76.12923061106021, pwm_r: 86.96262339447135, real_ul: 6.356346130371094, real_ur: 6.780180931091309
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 6.9903788566589355, real_ur: 4.795808792114258
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 6.999333381652832, real_ur: 4.798529624938965
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 7.007951736450195, real_ur: 4.774589538574219
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 7.016787528991699, real_ur: 4.713837623596191
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 7.016427040100098, real_ur: 4.909621238708496
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 7.0264668464660645, real_ur: 6.984400272369385
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 7.035349369049072, real_ur: 8.511246681213379
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 7.03222131729126, real_ur: 8.979886054992676
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 7.037293434143066, real_ur: 8.975824356079102
expected_ul: 8.143858853804772, expected_ur: 4.36663758969544, pwm_l: 94.69603318377642, pwm_r: 50.77485569413302, real_ul: 7.032023906707764, real_ur: 8.960352897644043
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.605098247528076, real_ur: 6.503120422363281
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.605318546295166, real_ur: 6.487819671630859
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.613374710083008, real_ur: 6.493013381958008
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.61328649520874, real_ur: 6.490886211395264
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.605978965759277, real_ur: 6.501047611236572
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.604658126831055, real_ur: 6.518860816955566
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.598750591278076, real_ur: 6.523705005645752
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.601734638214111, real_ur: 6.529755115509033
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.593825817108154, real_ur: 6.54059362411499
expected_ul: 7.069615383547609, expected_ur: 7.472653663335409, pwm_l: 82.20483004125127, pwm_r: 86.8913216666908, real_ul: 6.595926761627197, real_ur: 6.540655612945557
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.785823345184326, real_ur: 5.859571933746338
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.777865409851074, real_ur: 6.097455978393555
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.7710041999816895, real_ur: 6.111534118652344
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.753154754638672, real_ur: 6.103332042694092
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.748202800750732, real_ur: 6.100620746612549
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.763428688049316, real_ur: 6.116196155548096
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.776371002197266, real_ur: 6.112934589385986
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.776371002197266, real_ur: 6.1104302406311035
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.779773712158203, real_ur: 6.1021504402160645
expected_ul: 7.476384037502522, expected_ur: 6.2449607009600046, pwm_l: 86.93469811049445, pwm_r: 72.61582210418611, real_ul: 6.776212215423584, real_ur: 6.110215187072754
expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 5.992040634155273, real_ur: 5.81168270111084
expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 6.016481876373291, real_ur: 5.7993035316467285
expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 6.037337303161621, real_ur: 5.781108856201172
expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 6.041094779968262, real_ur: 5.772997856140137
expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 6.025663375854492, real_ur: 5.786423683166504
expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 6.018019676208496, real_ur: 5.796051979064941
expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 6.016111850738525, real_ur: 5.79940938949585
expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 6.009060382843018, real_ur: 5.8063483238220215
expected_ul: 5.801997738914142, expected_ur: 5.6788778457116385, pwm_l: 67.46508998737374, pwm_r: 66.03346332222836, real_ul: 6.006221771240234, real_ur: 5.805261135101318
